2,20552,12058
1,11220,7014
3,35500,19226
2,30268,16464
2,26888,16060
1,12416,7366
2,28140,16316
2,30828,17386
2,18760,11494
3,28200,16588
1,19960,11426
2,33228,18752
2,17976,11162
2,25208,15078
3,32416,18046
4,34784,19402
3,30636,16570
3,28688,16356
2,19508,11436
1,12512,8192
2,30156,15832
3,30988,17206
2,19568,10846
2,17528,11384
3,36616,19398
2,20576,11652
3,31948,18786
2,18664,10836
3,30636,17184
2,21496,12044
3,29460,15824
3,28092,15862
2,32080,17508
4,35340,19320
2,28692,15426
2,23536,14448
2,16832,9932
2,31732,17174
3,26756,15014
3,32256,16978
2,21060,13640
2,21812,12866
3,34144,17952
2,25352,14218
3,31540,18720
1,11068,7240
2,27828,15732
4,36168,19674
3,33176,17742
2,19912,12242
2,19404,11988
1,11808,7346
2,29968,17110
1,19264,12470
3,34576,18792
1,14780,8804
2,21688,13050
2,28380,16544
3,32376,17912
0,7928,6150
3,32988,17286
2,23596,13440
1,12088,8218
3,30348,17640
3,32588,17846
2,25936,15214
3,31988,17844
1,11904,8610
2,27848,16348
2,19132,11264
2,20412,12454
3,28136,15708
2,19052,12064
1,13272,9104
2,12300,8406
2,21308,13042
1,7696,5288
1,18476,11252
3,32972,18622
2,25828,15000
3,24556,14538
2,12040,8042
3,30280,16618
2,23496,12994
2,20960,12442
1,8788,5238
2,21844,12350
4,33980,18886
2,24288,13868
2,22388,12838
2,18600,11708
2,26580,14912
3,28876,16092
2,30504,18148
2,21132,12446
3,29668,16852
3,28560,15584
3,29916,17830
2,29584,17702
3,28616,15298
2,26184,16094
3,33800,18954
2,19068,12476
2,17132,10326
4,33512,18304
2,22304,13858
2,25680,15338
1,16280,10144
2,32036,18026
1,15468,9372
2,21348,11918
4,33372,18392
3,26904,14960
3,29768,16900
3,29872,17028
2,21808,12348
2,20272,12388
4,30668,17012
3,29080,16744
3,32832,18356
2,23200,12600
3,31708,17150
1,11560,7738
2,27348,15866
2,22488,12622
3,31772,17282
2,15384,9220
4,35216,19284
3,30804,17676
3,29020,16700
4,36424,19504
3,33504,18108
2,22980,13090
1,6816,5566
3,27304,14956
4,33512,18224
2,23928,14752
2,19528,12880
3,24248,13160
4,37072,19626
2,19200,11256
2,17740,10828
2,21220,12978
1,15308,9934
1,13880,8280
1,15388,9728
2,20236,12430
1,11512,7302
3,24788,13854
1,19056,11204
1,8004,6092
2,18396,10306
2,26264,14808
1,15296,9596
3,33792,18862
2,23204,13238
2,19904,12710
3,24924,16598
2,19972,12498
3,29652,16814
