5,332,184
0,288,166
0,296,178
0,72,58
0,224,140
0,216,184
0,256,162
0,128,90
0,124,84
0,212,130
0,340,198
0,156,130
0,124,102
0,200,144
0,328,198
0,88,72
0,328,196
0,172,140
0,84,66
0,116,96
0,144,116
0,288,170
0,292,182
0,140,134
0,268,188
0,228,146
0,308,196
1,324,198
0,124,90
0,132,120
0,248,174
0,220,134
0,184,132
0,88,88
0,100,82
0,188,134
0,324,186
0,204,134
0,196,168
0,280,184
0,284,168
0,212,130
0,48,44
0,188,124
0,304,196
0,112,86
0,176,154
0,244,152
0,252,158
0,276,176
0,176,122
0,208,138
0,280,162
0,100,80
0,140,94
0,196,140
0,268,168
0,184,128
0,116,94
0,192,132
0,328,194
0,148,102
0,124,94
0,336,198
0,252,182
0,320,198
0,124,96
0,108,82
0,176,140
0,304,196
0,92,84
0,156,110
0,300,178
0,176,156
1,304,190
0,100,76
0,216,162
0,208,138
0,256,154
1,216,150
0,292,192
0,180,150
0,312,182
0,224,138
0,324,190
0,276,168
0,108,100
0,136,110
0,316,184
0,100,84
0,244,150
0,296,186
0,196,142
0,96,92
0,180,116
0,204,142
0,232,184
0,124,94
0,172,118
0,248,152
0,128,98
0,292,178
0,196,130
0,112,84
0,180,122
0,248,186
0,204,158
0,216,162
0,340,196
0,136,122
0,328,188
0,128,120
0,252,154
0,84,64
0,104,82
0,296,184
0,268,174
0,176,114
0,244,158
1,100,84
0,316,198
0,292,186
0,192,120
0,240,162
0,112,84
0,332,192
0,348,198
0,320,196
0,336,198
0,144,104
0,240,146
0,136,114
0,52,52
0,236,182
0,240,160
0,232,156
0,252,156
0,100,76
0,196,130
0,252,192
0,264,178
0,260,172
0,268,162
1,268,176
0,236,174
0,240,172
0,340,198
0,252,166
0,228,158
0,220,150
0,176,118
0,312,184
0,300,184
0,304,194
0,284,194
0,300,178
0,284,172
0,216,166
0,208,154
0,340,190
0,144,92
0,220,140
0,120,96
0,324,198
0,180,152
0,128,90
0,264,184
0,96,82
0,188,128
0,280,170
1,108,98
0,248,164
0,92,68
0,268,156
0,288,166
0,288,168
0,308,182
0,292,180
0,320,186
0,192,126
0,72,68
0,264,176
0,172,132
0,292,170
0,216,136
0,128,96
0,264,170
0,156,116
0,288,188
0,264,160
0,208,152
1,324,192
0,216,144
0,60,58
0,296,176
0,316,180
1,184,120
0,284,166
0,92,78
0,184,148
0,196,156
0,276,184
0,328,194
0,224,144
0,316,192
